排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
342,富士康,BK0842,1649.18,17.84,1.09,454786944000,3.29,24,10,光莆股份,11.17
343,地热能,BK0622,3101.66,33.06,1.08,91584038000,2.33,9,4,建艺集团,4.99
344,民爆概念,BK1066,1250.65,13.27,1.07,163108617000,2.07,11,6,金奥博,4.18
345,中字头,BK0505,8028.16,85.09,1.07,16192119296000,0.56,74,26,中光学,10.0
346,工业4.0,BK0810,2266.55,23.92,1.07,2720055888000,3.16,88,41,科远智慧,9.98
347,储能,BK0989,1673.33,17.61,1.06,7779864832000,2.32,228,94,润建股份,10.01
348,电子烟,BK0865,1747.38,18.19,1.05,975920320000,3.23,38,11,天音控股,6.39
349,中芯概念,BK0935,1261.65,13.0,1.04,2431189376000,4.04,35,26,浙江东方,10.03
350,磁悬浮概念,BK0975,1636.88,16.85,1.04,729696448000,2.23,21,7,四川长虹,9.98
351,MicroLED,BK0948,1022.24,10.45,1.03,477221488000,2.26,13,6,新相微,4.93
352,新能源车,BK0900,1773.49,18.04,1.03,11652192256000,3.39,400,201,东风股份,10.0
353,钛白粉,BK0805,956.1,9.7,1.02,137375416000,1.16,7,2,天原股份,4.56
354,固态电池,BK0968,1531.01,15.5,1.02,4772836864000,2.28,108,55,浙数文化,10.01
355,标准普尔,BK0879,1441.18,14.59,1.02,56325921024000,1.2,638,352,航锦科技,10.02
356,2025规划,BK0713,934.63,9.38,1.01,3968400384000,2.22,51,26,吉峰科技,9.98
357,3D打印,BK0619,5145.31,51.62,1.01,596369024000,4.09,40,22,中光学,10.0
358,化工原料,BK0512,20320.92,203.64,1.01,1130340944000,1.46,47,20,航锦科技,10.02
359,沪股通,BK0707,1957.26,19.56,1.01,59962834688000,1.0,810,431,东风股份,10.0
360,参股期货,BK0524,28154.33,280.68,1.01,3040228640000,1.44,34,9,浙江东方,10.03
361,飞行汽车(eVTOL),BK1157,1654.8,16.45,1.0,786398608000,3.95,47,20,东安动力,9.98
362,深成500,BK0568,1108.32,10.93,1.0,22303301120000,2.24,300,180,航锦科技,10.02
363,工业气体,BK0981,1393.32,13.67,0.99,380939568000,1.11,17,10,和远气体,6.57
364,太阳能,BK0588,3000.44,29.26,0.98,7568776704000,1.99,267,125,润建股份,10.01
365,超级电容,BK0703,3374.31,32.56,0.97,617529440000,2.7,23,10,长安汽车,4.73
366,锂电池,BK0574,2821.4,26.84,0.96,7592310528000,2.64,263,115,中贝通信,10.0
367,碳纤维,BK1171,1172.16,11.15,0.96,336682288000,2.26,27,7,海源复材,8.5
368,海工装备,BK0601,1538.02,14.52,0.95,1149036656000,1.34,25,16,克莱特,9.02
369,植物照明,BK1007,974.07,9.14,0.95,160529843000,3.14,14,3,远方信息,2.57
370,中证500,BK0701,1943.43,18.09,0.94,13500675584000,1.87,303,169,航锦科技,10.02
371,证金持股,BK0718,1294.26,12.02,0.94,36477613312000,0.56,140,82,浙数文化,10.01
372,苹果概念,BK0666,2974.76,27.43,0.93,2804032096000,2.63,84,43,和林微纳,7.01
373,大飞机,BK0814,1306.24,11.98,0.93,1715504560000,2.36,73,21,旋极信息,7.04
374,生物质能发电,BK1098,898.23,8.17,0.92,196313392000,1.42,18,7,天源环保,7.32
375,MLCC,BK0890,1750.49,15.87,0.91,179097237000,1.69,10,3,昀冢科技,6.14
376,胎压监测,BK0898,2086.18,18.88,0.91,310981744000,4.82,16,11,通达电气,10.02
377,氮化镓,BK0916,1261.3,11.37,0.91,945383824000,3.7,31,15,铖昌科技,6.9
378,无线耳机,BK0893,1951.87,17.55,0.91,2383551056000,6.4,52,32,联创电子,10.03
379,铜缆高速连接,BK1168,1518.34,13.45,0.89,626211840000,6.52,23,11,博创科技,5.78
380,中俄贸易概念,BK1072,1280.7,11.31,0.89,459885984000,2.48,42,14,海能达,8.08
381,特高压,BK0918,1737.85,15.12,0.88,1087942768000,1.8,60,23,中恒电气,6.48
382,调味品概念,BK1026,858.71,7.47,0.88,683245600000,2.4,22,10,佳隆股份,4.64
383,天然气,BK0843,1267.37,11.0,0.88,4834894592000,0.59,79,38,广安爱众,10.06
384,科创板做市股,BK1108,929.64,7.91,0.86,1911117248000,1.2,26,18,开普云,13.82
385,百元股,BK1059,645.42,5.46,0.85,12696751616000,2.05,59,31,瑞迪智驱,14.33
386,绿色电力,BK1024,987.54,8.3,0.85,4645610240000,0.98,85,37,电投产融,9.95
387,中特估,BK1139,1067.06,8.94,0.84,22846134784000,0.37,42,29,深桑达Ａ,10.01
388,降解塑料,BK0909,1509.94,12.37,0.83,668977392000,1.86,48,13,雄塑科技,4.71
