代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sh000126,消费50,8097.2331,-5.094,-0.063,8102.3271,8117.9777,8165.8092,8094.7827,11197696,27429373234
sh000128,380基本,7685.0472,15.198,0.198,7669.8496,7677.2543,7739.1578,7672.8792,55240107,87572812475
sh000129,180波动,14259.2908,111.769,0.79,14147.5223,14172.8601,14315.6892,14172.8601,69945697,73338128923
sh000130,380波动,11997.17,100.307,0.843,11896.8631,11918.5395,12056.8969,11918.5395,22211308,15509483546
sh000131,上证高新,2353.932,-72.32,-2.981,2426.2523,2421.0182,2421.386,2353.932,5439104,25141446380
sh000132,上证100,5100.1078,-26.677,-0.52,5126.7849,5129.9885,5161.9381,5100.1078,7359767,19266196341
sh000133,上证150,4454.2791,-76.836,-1.696,4531.1147,4535.5513,4546.1963,4453.3752,12982996,19836924867
sh000134,上证银行,973.389,13.607,1.418,959.7817,962.6986,977.0773,962.6986,29203796,21161680164
sh000135,180高贝,5034.2396,-89.365,-1.744,5123.6047,5125.2163,5125.2163,5034.2396,18336920,49273510500
sh000136,180低贝,11500.6726,152.624,1.345,11348.0483,11362.4764,11536.6425,11362.4764,41173920,44511204128
sh000137,380高贝,4266.5656,-119.636,-2.728,4386.202,4367.9382,4379.9016,4266.5656,13006660,35678823575
sh000138,380低贝,7242.7355,76.814,1.072,7165.9215,7186.3511,7276.0319,7186.3511,17024805,15462298007
sh000139,上证转债,372.5412,-1.094,-0.293,373.6356,373.8341,374.7789,372.4001,13300944,20164305278
sh000141,380动态,3041.3773,-44.643,-1.447,3086.02,3084.4263,3093.0362,3041.3773,26957735,55184357238
sh000142,380稳定,8399.6885,27.174,0.325,8372.515,8386.5663,8460.597,8386.5663,28241512,31538507255
sh000145,优势资源,5184.9097,3.189,0.062,5181.7211,5184.3107,5223.0996,5174.9539,20292062,17524141688
sh000146,优势制造,6292.7691,-79.488,-1.247,6372.2571,6373.526,6398.7364,6292.7691,14568123,26280594712
sh000147,优势消费,6528.8274,10.173,0.156,6518.6542,6526.5174,6582.5017,6524.1983,4598440,15536564550
sh000148,消费领先,8154.5309,-17.626,-0.216,8172.1573,8186.5941,8218.3624,8154.5309,44960114,72211034767
sh000149,180红利,3832.9719,48.236,1.274,3784.736,3790.7042,3844.1225,3790.7042,34783660,29831175837
sh000150,380红利,11796.3886,137.173,1.177,11659.2159,11669.3579,11851.1928,11669.3579,7009515,5100966312
sh000151,上国红利,1547.3272,23.765,1.56,1523.5627,1525.205,1551.9075,1525.205,25130140,18343306819
sh000152,上央红利,2676.895,34.636,1.311,2642.259,2644.5263,2686.3868,2644.5263,33522559,25258390922
sh000153,上民红利,2972.1564,19.403,0.657,2952.7532,2952.5287,2990.7415,2952.5287,4148059,3213590782
sh000155,市值百强,2781.1568,-0.853,-0.031,2782.0101,2786.4119,2797.8265,2781.0899,69492086,123791996015
sh000158,上证环保,1092.3133,-8.746,-0.794,1101.0591,1099.5103,1112.145,1092.3133,11016741,14259850869
sh000159,沪股通,3000.9441,-9.92,-0.329,3010.8637,3015.597,3028.8363,3000.9441,304669968,370639238734
sh000160,沪新丝路,1776.1914,1.35,0.076,1774.8411,1777.0894,1788.6235,1775.422,36260773,29285146666
sh000161,沪中国造,1421.6355,-7.881,-0.551,1429.5168,1435.2464,1441.9059,1421.6355,28117819,49485489954
sh000162,沪互联+,2932.182,-36.771,-1.239,2968.9531,2987.0679,2995.01,2932.182,19337029,35030540549
sh000170,50AH优选,4972.0444,8.644,0.174,4963.4008,4963.6051,5000.2807,4963.3614,28652935,57978790466
sh000300,沪深300,3817.0802,-15.784,-0.412,3832.8637,3836.9578,3851.9969,3817.0802,146670772,282940127541
sh000510,中证A500,4478.6606,-25.349,-0.563,4504.0095,4509.7196,4527.0514,4478.6606,213483440,364457964185
sh000680,科创综指,1101.803,-23.148,-2.058,1124.9508,1124.1783,1125.5762,1101.803,24754873,94211964048
sh000681,科创价格,1069.1051,-22.461,-2.058,1091.566,1090.8165,1092.1728,1069.1051,24754873,94211964048
sh000682,科创信息,1309.6555,-31.601,-2.356,1341.2564,1338.3597,1341.4292,1309.604,4864110,34901798371
