date,symbols,count
2020-04-28,"sh600206,sh600278,sh600338,sh600520,sh600568,sh600641,sh600699,sh600732,sh600771,sh601108,sh601717,sh603160,sh603167,sh603612,sh603958,sz000100,sz000628,sz002137,sz002963,sz300223,sz300230,sz300637",22
2020-04-29,"sh600011,sh600088,sh600119,sh600121,sh600136,sh600152,sh600212,sh600271,sh600288,sh600439,sh600455,sh600483,sh600499,sh600516,sh600518,sh600715,sh600742,sh600850,sh601113,sh603021,sh603026,sh603035,sh603085,sh603115,sh603283,sh603303,sh603308,sh603318,sh603519,sh603585,sh603776,sh603787,sh603808,sh603839,sh603885,sh603900,sh603936,sh603938,sh603959,sh688005,sz000410,sz000626,sz000725,sz000758,sz000818,sz000823,sz000852,sz000885,sz002011,sz002036,sz002045,sz002057,sz002086,sz002139,sz002153,sz002276,sz002343,sz002346,sz002366,sz002449,sz002599,sz002655,sz002656,sz002666,sz002721,sz002724,sz002759,sz002800,sz002855,sz002861,sz002881,sz002957,sz002962,sz002970,sz300043,sz300061,sz300084,sz300096,sz300139,sz300162,sz300177,sz300183,sz300191,sz300199,sz300207,sz300221,sz300239,sz300290,sz300296,sz300301,sz300306,sz300319,sz300338,sz300350,sz300359,sz300380,sz300415,sz300430,sz300446,sz300458,sz300474,sz300490,sz300508,sz300537,sz300545,sz300546,sz300564,sz300577,sz300596,sz300611,sz300618,sz300632,sz300643,sz300656,sz300667,sz300686,sz300689,sz300691,sz300721,sz300745,sz300773,sz300777,sz300810,sz300812",124
2020-04-30,"sh600081,sh600100,sh600123,sh600135,sh600160,sh600182,sh600200,sh600230,sh600241,sh600278,sh600333,sh600338,sh600339,sh600381,sh600405,sh600409,sh600420,sh600520,sh600561,sh600571,sh600592,sh600613,sh600617,sh600626,sh600640,sh600664,sh600673,sh600716,sh600721,sh600722,sh600759,sh600771,sh600775,sh600776,sh600789,sh600805,sh600866,sh600903,sh600965,sh600996,sh601011,sh601086,sh601101,sh601127,sh601212,sh601339,sh601677,sh601858,sh601999,sh603037,sh603081,sh603089,sh603168,sh603178,sh603217,sh603227,sh603256,sh603300,sh603311,sh603379,sh603383,sh603390,sh603399,sh603421,sh603508,sh603516,sh603551,sh603586,sh603590,sh603650,sh603722,sh603790,sh603803,sh603813,sh603901,sh603978,sh688003,sh688028,sh688033,sh688078,sh688099,sh688108,sh688168,sh688178,sh688186,sh688196,sh688199,sh688333,sh688357,sz000025,sz000026,sz000059,sz000066,sz000078,sz000159,sz000503,sz000518,sz000521,sz000523,sz000530,sz000572,sz000584,sz000592,sz000601,sz000629,sz000650,sz000678,sz000697,sz000698,sz000700,sz000723,sz000782,sz000791,sz000810,sz000811,sz000856,sz000862,sz000868,sz000892,sz000919,sz000957,sz000962,sz000969,sz000972,sz000980,sz000985,sz000990,sz002017,sz002038,sz002046,sz002051,sz002078,sz002094,sz002101,sz002109,sz002114,sz002115,sz002122,sz002161,sz002162,sz002166,sz002172,sz002182,sz002189,sz002192,sz002198,sz002201,sz002209,sz002245,sz002268,sz002274,sz002278,sz002292,sz002296,sz002315,sz002316,sz002390,sz002393,sz002407,sz002422,sz002442,sz002446,sz002482,sz002510,sz002514,sz002552,sz002559,sz002565,sz002574,sz002576,sz002587,sz002612,sz002622,sz002649,sz002657,sz002664,sz002670,sz002674,sz002679,sz002682,sz002685,sz002691,sz002694,sz002717,sz002718,sz002728,sz002750,sz002763,sz002779,sz002871,sz002889,sz002900,sz002902,sz002949,sz002950,sz002951,sz002960,sz002961,sz002963,sz002969,sz002971,sz300005,sz300052,sz300057,sz300065,sz300072,sz300079,sz300099,sz300108,sz300112,sz300117,sz300129,sz300130,sz300135,sz300145,sz300149,sz300152,sz300153,sz300164,sz300170,sz300176,sz300218,sz300238,sz300247,sz300254,sz300264,sz300267,sz300269,sz300272,sz300288,sz300289,sz300291,sz300322,sz300324,sz300333,sz300339,sz300365,sz300370,sz300377,sz300384,sz300405,sz300423,sz300424,sz300436,sz300438,sz300442,sz300444,sz300445,sz300473,sz300479,sz300487,sz300488,sz300500,sz300506,sz300513,sz300514,sz300532,sz300533,sz300547,sz300549,sz300553,sz300570,sz300583,sz300589,sz300594,sz300609,sz300619,sz300625,sz300637,sz300647,sz300657,sz300668,sz300703,sz300705,sz300716,sz300718,sz300719,sz300733,sz300736,sz300743,sz300749,sz300756,sz300772,sz300775,sz300778,sz300779,sz300809",287
2020-05-06,"sh600271,sh600328,sh600596,sh600630,sh600666,sh600821,sh601113,sh601599,sh601718,sh603177,sh603389,sz000766,sz002462,sz002524,sz300777",15
2020-05-07,"sz000679,sz002016,sz002086,sz002200,sz002681",5
2020-05-08,"sh600052,sh600080,sh600271,sh600328,sh600613,sh600721,sh600759,sh600778,sh600789,sh603399,sh603877,sz000026,sz000626,sz000802,sz000803,sz002005,sz002088,sz002122,sz002187,sz002274,sz002427,sz002462,sz002586,sz002638,sz002813,sz300108,sz300218,sz300247,sz300300,sz300317",30
2020-05-11,"sh600470,sh600753,sh601677,sh688189,sz002488,sz002871",6
2020-05-12,"sh600339,sh600666,sh600712,sz000078,sz002496",5
2020-05-13,"sh600271,sh600448,sh600698,sh600749,sh600778,sh601677,sh601718,sh603045,sh603168,sh603600,sz000802,sz000972,sz002114,sz002172,sz002187,sz002506,sz300032,sz300086,sz300108,sz300218,sz300317,sz300535",22
2020-05-14,"sh600070,sh600080,sh600265,sh600561,sh600592,sh603399,sh603958,sz000665,sz000707,sz000711,sz002121",11
